GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Foyer,tn.esprit.spring.service.Universite,UniversiteService,29,6,0,0,7,1,5,1,5,1
Foyer,tn.esprit.spring.service.Reservation,ReservationService,315,16,18,0,65,2,20,2,10,2
Foyer,tn.esprit.spring.service.Bloc,BlocService,142,55,9,3,31,12,10,6,5,5
Foyer,tn.esprit.spring.Config,SpringDocConfig,0,166,0,0,0,45,0,11,0,11
Foyer,tn.esprit.spring.AOP,FoyerAspect,29,7,0,0,9,2,3,2,3,2
Foyer,tn.esprit.spring.DAO.Entities,Bloc,26,44,0,0,3,7,7,6,7,6
Foyer,tn.esprit.spring.DAO.Entities,Foyer,62,8,0,0,8,2,12,1,12,1
Foyer,tn.esprit.spring.DAO.Entities,Chambre,62,8,0,0,8,2,12,1,12,1
Foyer,tn.esprit.spring.DAO.Entities,Etudiant.EtudiantBuilder,72,0,0,0,1,0,10,0,10,0
Foyer,tn.esprit.spring.DAO.Entities,Reservation.ReservationBuilder,45,0,0,0,1,0,7,0,7,0
Foyer,tn.esprit.spring.DAO.Entities,Etudiant,82,8,0,0,10,2,16,1,16,1
Foyer,tn.esprit.spring.DAO.Entities,Foyer.FoyerBuilder,54,0,0,0,1,0,8,0,8,0
Foyer,tn.esprit.spring.DAO.Entities,TypeChambre,0,21,0,0,0,2,0,1,0,1
Foyer,tn.esprit.spring.DAO.Entities,Bloc.BlocBuilder,17,37,0,0,0,1,2,6,2,6
Foyer,tn.esprit.spring.DAO.Entities,Chambre.ChambreBuilder,54,0,0,0,1,0,8,0,8,0
Foyer,tn.esprit.spring.DAO.Entities,Universite.UniversiteBuilder,45,0,0,0,1,0,7,0,7,0
Foyer,tn.esprit.spring.DAO.Entities,Universite,47,3,0,0,7,1,10,1,10,1
Foyer,tn.esprit.spring.DAO.Entities,Reservation,60,0,0,0,9,0,11,0,11,0
Foyer,tn.esprit.spring.service.Etudiant,EtudiantService,29,6,0,0,7,1,5,1,5,1
Foyer,tn.esprit.spring.service.Foyer,FoyerService,140,12,4,0,30,1,11,1,9,1
Foyer,tn.esprit.spring.Schedular,Schedular,0,3,0,0,0,1,0,1,0,1
Foyer,tn.esprit.spring.Schedular,test,0,7,0,0,0,2,0,2,0,2
Foyer,tn.esprit.spring,FoyerApplication,5,3,0,0,2,1,1,1,1,1
Foyer,tn.esprit.spring.RestControllers,EtudiantRestController,24,6,0,0,7,1,5,1,5,1
Foyer,tn.esprit.spring.RestControllers,ChambreRestController,41,6,0,0,10,1,8,1,8,1
Foyer,tn.esprit.spring.RestControllers,UniversiteRestController,24,6,0,0,7,1,5,1,5,1
Foyer,tn.esprit.spring.RestControllers,BlocRestController,36,6,0,0,9,1,7,1,7,1
Foyer,tn.esprit.spring.RestControllers,ReservationRestController,41,6,0,0,10,1,8,1,8,1
Foyer,tn.esprit.spring.RestControllers,FoyerRestController,41,6,0,0,10,1,8,1,8,1
Foyer,tn.esprit.spring.service.Chambre,ChambreService,417,13,46,0,73,2,35,2,11,2
